
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.77ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.25ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.23ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.43ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 1.10ms
  2026-07-22 12:01:48 /bench1 .................................... ~ 505.33ms
  2026-07-22 12:01:48 /bench1 .................................... ~ 505.34ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:49 /bench1 .................................... ~ 505.31ms
  2026-07-22 12:01:49 /bench1 .................................... ~ 505.33ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.45ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.19ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:49 /bench1 .................................... ~ 505.31ms
  2026-07-22 12:01:49 /bench1 .................................... ~ 505.33ms
  2026-07-22 12:01:49 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.19ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.19ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.19ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.19ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:50 /bench1 .................................... ~ 505.30ms
  2026-07-22 12:01:50 /bench1 .................................... ~ 505.33ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:50 /bench1 .................................... ~ 505.32ms
  2026-07-22 12:01:50 /bench1 .................................... ~ 505.36ms
  2026-07-22 12:01:50 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.19ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:51 /bench1 .................................... ~ 505.30ms
  2026-07-22 12:01:51 /bench1 .................................... ~ 505.32ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:51 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:51 /bench1 .................................... ~ 500.99ms
  2026-07-22 12:01:51 /bench1 .................................... ~ 501.01ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.19ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.19ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.59ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.21ms
